"valuation_date","ticker","quote_date","stale_days","price"
2019-03-08,"^GSPC",2019-03-08,0,2743.07006835938
2019-03-15,"^GSPC",2019-03-15,0,2822.47998046875
2019-03-22,"^GSPC",2019-03-22,0,2800.7099609375
2019-03-29,"^GSPC",2019-03-29,0,2834.39990234375
2019-04-05,"^GSPC",2019-04-05,0,2892.73999023438
2019-04-12,"^GSPC",2019-04-12,0,2907.40991210938
2019-04-19,"^GSPC",2019-04-18,1,2905.03002929688
2019-04-26,"^GSPC",2019-04-26,0,2939.8798828125
2019-05-03,"^GSPC",2019-05-03,0,2945.63989257812
2019-05-10,"^GSPC",2019-05-10,0,2881.39990234375
2019-05-17,"^GSPC",2019-05-17,0,2859.53002929688
2019-05-24,"^GSPC",2019-05-24,0,2826.06005859375
2019-05-31,"^GSPC",2019-05-31,0,2752.06005859375
2019-06-07,"^GSPC",2019-06-07,0,2873.34008789062
2019-06-14,"^GSPC",2019-06-14,0,2886.97998046875
2019-06-21,"^GSPC",2019-06-21,0,2950.4599609375
2019-06-28,"^GSPC",2019-06-28,0,2941.76000976562
2019-07-05,"^GSPC",2019-07-05,0,2990.40991210938
2019-07-12,"^GSPC",2019-07-12,0,3013.77001953125
2019-07-19,"^GSPC",2019-07-19,0,2976.61010742188
2019-07-26,"^GSPC",2019-07-26,0,3025.86010742188
2019-08-02,"^GSPC",2019-08-02,0,2932.05004882812
2019-08-09,"^GSPC",2019-08-09,0,2918.64990234375
2019-08-16,"^GSPC",2019-08-16,0,2888.67993164062
2019-08-23,"^GSPC",2019-08-23,0,2847.11010742188
2019-08-30,"^GSPC",2019-08-30,0,2926.4599609375
2019-09-06,"^GSPC",2019-09-06,0,2978.7099609375
2019-09-13,"^GSPC",2019-09-13,0,3007.38989257812
2019-09-20,"^GSPC",2019-09-20,0,2992.07006835938
2019-09-27,"^GSPC",2019-09-27,0,2961.7900390625
2019-10-04,"^GSPC",2019-10-04,0,2952.01000976562
2019-10-11,"^GSPC",2019-10-11,0,2970.27001953125
2019-10-18,"^GSPC",2019-10-18,0,2986.19995117188
2019-10-25,"^GSPC",2019-10-25,0,3022.55004882812
2019-11-01,"^GSPC",2019-11-01,0,3066.90991210938
2019-11-08,"^GSPC",2019-11-08,0,3093.080078125
2019-11-15,"^GSPC",2019-11-15,0,3120.4599609375
2019-11-22,"^GSPC",2019-11-22,0,3110.2900390625
2019-11-29,"^GSPC",2019-11-29,0,3140.97998046875
2019-12-06,"^GSPC",2019-12-06,0,3145.90991210938
2019-12-13,"^GSPC",2019-12-13,0,3168.80004882812
2019-12-20,"^GSPC",2019-12-20,0,3221.21997070312
2019-12-27,"^GSPC",2019-12-27,0,3240.02001953125
2020-01-03,"^GSPC",2020-01-03,0,3234.85009765625
2020-01-10,"^GSPC",2020-01-10,0,3265.35009765625
2020-01-17,"^GSPC",2020-01-17,0,3329.6201171875
2020-01-24,"^GSPC",2020-01-24,0,3295.46997070312
2020-01-31,"^GSPC",2020-01-31,0,3225.52001953125
2020-02-07,"^GSPC",2020-02-07,0,3327.7099609375
2020-02-14,"^GSPC",2020-02-14,0,3380.15991210938
2020-02-21,"^GSPC",2020-02-21,0,3337.75
2020-02-28,"^GSPC",2020-02-28,0,2954.21997070312
2020-03-06,"^GSPC",2020-03-06,0,2972.3701171875
2020-03-13,"^GSPC",2020-03-13,0,2711.02001953125
2020-03-20,"^GSPC",2020-03-20,0,2304.919921875
2020-03-27,"^GSPC",2020-03-27,0,2541.46997070312
2020-04-03,"^GSPC",2020-04-03,0,2488.64990234375
2020-04-10,"^GSPC",2020-04-09,1,2789.82006835938
2020-04-17,"^GSPC",2020-04-17,0,2874.56005859375
2020-04-24,"^GSPC",2020-04-24,0,2836.73999023438
2020-05-01,"^GSPC",2020-05-01,0,2830.7099609375
2020-05-08,"^GSPC",2020-05-08,0,2929.80004882812
2020-05-15,"^GSPC",2020-05-15,0,2863.69995117188
2020-05-22,"^GSPC",2020-05-22,0,2955.44995117188
2020-05-29,"^GSPC",2020-05-29,0,3044.31005859375
2020-06-05,"^GSPC",2020-06-05,0,3193.92993164062
2020-06-12,"^GSPC",2020-06-12,0,3041.31005859375
2020-06-19,"^GSPC",2020-06-19,0,3097.73999023438
2020-06-26,"^GSPC",2020-06-26,0,3009.05004882812
2020-07-03,"^GSPC",2020-07-02,1,3130.01000976562
2020-07-10,"^GSPC",2020-07-10,0,3185.0400390625
2020-07-17,"^GSPC",2020-07-17,0,3224.72998046875
2020-07-24,"^GSPC",2020-07-24,0,3215.6298828125
2020-07-31,"^GSPC",2020-07-31,0,3271.1201171875
2020-08-07,"^GSPC",2020-08-07,0,3351.28002929688
2020-08-14,"^GSPC",2020-08-14,0,3372.85009765625
2020-08-21,"^GSPC",2020-08-21,0,3397.15991210938
2020-08-28,"^GSPC",2020-08-28,0,3508.01000976562
2020-09-04,"^GSPC",2020-09-04,0,3426.9599609375
2020-09-11,"^GSPC",2020-09-11,0,3340.96997070312
2020-09-18,"^GSPC",2020-09-18,0,3319.46997070312
2020-09-25,"^GSPC",2020-09-25,0,3298.4599609375
2020-10-02,"^GSPC",2020-10-02,0,3348.419921875
2020-10-09,"^GSPC",2020-10-09,0,3477.13989257812
2020-10-16,"^GSPC",2020-10-16,0,3483.81005859375
2020-10-23,"^GSPC",2020-10-23,0,3465.38989257812
2020-10-30,"^GSPC",2020-10-30,0,3269.9599609375
2020-11-06,"^GSPC",2020-11-06,0,3509.43994140625
2020-11-13,"^GSPC",2020-11-13,0,3585.14990234375
2020-11-20,"^GSPC",2020-11-20,0,3557.5400390625
2020-11-27,"^GSPC",2020-11-27,0,3638.35009765625
2020-12-04,"^GSPC",2020-12-04,0,3699.1201171875
2020-12-11,"^GSPC",2020-12-11,0,3663.4599609375
